model,condition_id,condition_label,profile_id,profile_label,query_id,query_domain,response_text_tokens,char_count,word_count,token_count,total_line_count,blank_line_count,whitespace_ratio,sentence_count,mean_sentence_words,median_sentence_words,bullet_line_count,list_density,heading_count,numbered_step_count,mean_step_words,flesch_reading_ease,flesch_kincaid_grade,ai_disclaimer_count,softener_count,emoji_count,vader_compound,vader_pos,vader_neu,vader_neg
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q04,executive_function,255,1072,187,255,14,4,0.2857142857142857,5,37.4,10.0,6,0.42857142857142855,0,3,54.0,65.5917138599106,8.24353700943865,0,1,0,0.9932,0.237,0.763,0.0
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q03,executive_function,267,1160,197,267,18,6,0.3333333333333333,13,15.153846153846153,14.0,0,0.0,5,0,0.0,76.67635627530365,5.114170040485831,0,2,0,0.6597,0.068,0.876,0.056
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q01,executive_function,417,1817,311,417,51,15,0.29411764705882354,10,31.1,36.0,17,0.3333333333333333,6,3,57.666666666666664,67.38381401825778,6.895779049976792,0,2,0,0.9945,0.159,0.835,0.006
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q02,executive_function,355,1410,256,355,32,7,0.21875,12,21.333333333333332,21.5,16,0.5,6,0,0.0,75.88169990029911,6.124117647058824,0,2,0,0.9863,0.137,0.838,0.025
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q10,technical_explanation,357,1808,287,357,19,4,0.21052631578947367,4,71.75,68.0,7,0.3684210526315789,3,0,0.0,37.416969013237065,13.774954873646212,0,0,0,0.765,0.074,0.885,0.042
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q11,technical_explanation,287,1413,205,287,18,4,0.2222222222222222,7,29.285714285714285,24.0,6,0.3333333333333333,3,0,0.0,37.71374463100355,11.763654822335027,0,0,0,0.9921,0.199,0.787,0.014
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q05,executive_function,386,1719,288,386,21,7,0.3333333333333333,17,16.941176470588236,15.0,0,0.0,6,0,0.0,66.7289391262448,7.147666238355285,0,1,0,0.9918,0.181,0.766,0.053
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q09,technical_explanation,416,1963,299,416,33,10,0.30303030303030304,7,42.714285714285715,22.0,15,0.45454545454545453,1,5,46.4,40.34579675833183,11.410617373884538,0,1,0,0.9712,0.085,0.915,0.0
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q08,technical_explanation,502,2318,382,502,46,16,0.34782608695652173,21,18.19047619047619,16.0,7,0.15217391304347827,5,4,45.75,61.84286231884059,8.442717391304349,0,1,0,0.4939,0.029,0.953,0.018
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q14,emotional_support,330,1496,262,330,13,6,0.46153846153846156,9,29.11111111111111,22.0,4,0.3076923076923077,0,4,48.25,73.01037943421643,6.9045577009429735,0,4,0,0.9574,0.188,0.68,0.132
