scope,metric,contrast,estimate,se,z,p,p_holm
claude-sonnet-4-6,token_count,C1 − C0,-1.291666666666572,17.687903462842026,-0.07302542493970801,0.9417858853446501,0.9417858853446501
claude-sonnet-4-6,token_count,C2 − C0,47.26041666666677,17.687903462842026,2.6719060721893575,0.007542175647765277,0.015084351295530554
gpt-5-chat-latest,token_count,C1 − C0,78.90625000000009,19.65952450938693,4.013639798985185,5.9789564076875995e-05,5.9789564076875995e-05
gpt-5-chat-latest,token_count,C2 − C0,120.34375000000009,19.65952450938693,6.121396778571067,9.275860032710376e-10,1.8551720065420752e-09
claude-sonnet-4-6,list_density,C1 − C0,-0.06069164300101615,0.016294996696682027,-3.7245569379817134,0.0001956585500552661,0.0001956585500552661
claude-sonnet-4-6,list_density,C2 − C0,-0.09132093125398097,0.016294996696682027,-5.604231344985523,2.091811631247003e-08,4.183623262494006e-08
gpt-5-chat-latest,list_density,C1 − C0,0.12798648576972524,0.02548346846175604,5.0223338303339355,5.104735673716634e-07,1.0209471347433268e-06
gpt-5-chat-latest,list_density,C2 − C0,0.09574126315133763,0.02548346846175604,3.756994982650027,0.00017196594309679372,0.00017196594309679372
claude-sonnet-4-6,heading_count,C1 − C0,0.7708333333333353,0.2560191574215916,3.010842395922698,0.0026052403725889332,0.0026052403725889332
claude-sonnet-4-6,heading_count,C2 − C0,0.9791666666666686,0.2560191574215916,3.824583584009912,0.00013099330094481416,0.00026198660188962833
gpt-5-chat-latest,heading_count,C1 − C0,2.364583333333334,0.42327571118757334,5.58639031448104,2.3183785973421488e-08,2.3183785973421488e-08
gpt-5-chat-latest,heading_count,C2 − C0,3.5104166666666674,0.42327571118757334,8.29345170035291,1.1000861896444352e-16,2.2001723792888704e-16
claude-sonnet-4-6,mean_sentence_words,C1 − C0,-0.06533135624586706,4.898561807648973,-0.01333684432517599,0.9893590532774237,0.9893590532774237
claude-sonnet-4-6,mean_sentence_words,C2 − C0,-8.86246575821955,4.898561807648974,-1.8091974963714952,0.07042032646078283,0.14084065292156567
gpt-5-chat-latest,mean_sentence_words,C1 − C0,29.091920220334003,4.826761686733974,6.027212882767999,1.6681122377912218e-09,3.3362244755824436e-09
gpt-5-chat-latest,mean_sentence_words,C2 − C0,16.181240428388776,4.826761686733974,3.352400942615794,0.0008011390469207939,0.0008011390469207939
claude-sonnet-4-6,mean_step_words,C1 − C0,10.834446133931433,2.7087760036144592,3.999757129963671,6.34075219557758e-05,6.34075219557758e-05
claude-sonnet-4-6,mean_step_words,C2 − C0,15.729882545519644,2.7087760036144597,5.807007491402186,6.359929199318183e-09,1.2719858398636367e-08
gpt-5-chat-latest,mean_step_words,C1 − C0,1.1660459644315146,3.162701739713507,0.36868666741149636,0.7123612876104466,0.7123612876104466
gpt-5-chat-latest,mean_step_words,C2 − C0,9.441880746568247,3.162701739713507,2.985384498325643,0.002832220741001655,0.00566444148200331
claude-sonnet-4-6,whitespace_ratio,C1 − C0,0.04155874908739826,0.0077210093290628595,5.382553927368777,7.34363656031435e-08,7.34363656031435e-08
claude-sonnet-4-6,whitespace_ratio,C2 − C0,0.0677907984925854,0.00772100932906286,8.780043593188292,1.6341130895980896e-18,3.2682261791961792e-18
