scope,metric,contrast,estimate,se,z,p,p_holm
pooled,token_count,C1 − C0,38.80729166666676,13.804662361575227,2.8111728233705615,0.004936126428178681,0.004936126428178681
pooled,token_count,C2 − C0,83.80208333333346,13.804662361575227,6.070563780436491,1.2746198096241586e-09,2.549239619248317e-09
pooled,list_density,C1 − C0,0.033647421384354545,0.01626323634127509,2.0689253158646825,0.038553095545960044,0.07710619109192009
pooled,list_density,C2 − C0,0.0022101659486783143,0.01626323634127509,0.1358995160802681,0.8919007180390288,0.8919007180390288
pooled,heading_count,C1 − C0,1.567708333333331,0.26732572057010573,5.864412634856069,4.507253347465963e-09,4.507253347465963e-09
pooled,heading_count,C2 − C0,2.2447916666666643,0.26732572057010573,8.397215433963344,4.5719079199782535e-17,9.143815839956507e-17
pooled,mean_sentence_words,C1 − C0,14.513294432044077,3.594356773527502,4.037800181366173,5.3954780256622786e-05,0.00010790956051324557
pooled,mean_sentence_words,C2 − C0,3.6593873350846184,3.594356773527502,1.01809240586134,0.3086340439718097,0.3086340439718097
pooled,mean_step_words,C1 − C0,6.000246049181482,2.1572049499155206,2.781490951713448,0.005410983901172334,0.005410983901172334
pooled,mean_step_words,C2 − C0,12.585881646043958,2.1572049499155206,5.834346730261694,5.400172123904757e-09,1.0800344247809514e-08
pooled,whitespace_ratio,C1 − C0,-0.009268332841190453,0.006366621416570359,-1.4557694316592833,0.14545636875707607,0.14545636875707607
pooled,whitespace_ratio,C2 − C0,0.01750587027258081,0.006366621416570359,2.749632674406932,0.005966210441760018,0.011932420883520036
pooled,flesch_reading_ease,C1 − C0,9.942313870215711,1.8017237184471375,5.518223337141142,3.424440573935406e-08,3.424440573935406e-08
pooled,flesch_reading_ease,C2 − C0,12.815715088635924,1.8017237184471377,7.113030126328958,1.1352248639165295e-12,2.270449727833059e-12
pooled,ai_disclaimer_count,C1 − C0,-0.0052083333333333365,0.006879644983787511,-0.7570642592179149,0.44901136527659546,0.44901136527659546
pooled,ai_disclaimer_count,C2 − C0,-0.010416666666666675,0.006879644983787511,-1.51412851843583,0.12999324687550876,0.2599864937510175
pooled,softener_count,C1 − C0,-1.5000000000000009,0.10035739631654028,-14.946581468383314,1.6395218471805756e-50,1.6395218471805756e-50
pooled,softener_count,C2 − C0,-1.5677083333333346,0.10035739631654028,-15.621253548553398,5.216978211256551e-55,1.0433956422513102e-54
pooled,emoji_count,C1 − C0,0.9739583333333339,0.16362470842040452,5.9523915595370935,2.6425222230443324e-09,5.285044446088665e-09
pooled,emoji_count,C2 − C0,0.7447916666666674,0.16362470842040455,4.551828839646014,5.318159385631974e-06,5.318159385631974e-06
pooled,vader_compound,C1 − C0,-0.1294760416666667,0.04949241478978231,-2.6160784883221537,0.008894610901765052,0.008894610901765052
pooled,vader_compound,C2 − C0,-0.21030260416666685,0.04949241478978231,-4.249188588997354,2.145462407222648e-05,4.290924814445296e-05
pooled,masking_reinforcement,C1 − C0,-0.008526446068957045,0.05026555005149611,-0.1696280267543449,0.8653026797988794,0.8653026797988794
pooled,masking_reinforcement,C2 − C0,-0.26905975400586635,0.05452912559083229,-4.934239291214713,8.046374309252822e-07,1.6092748618505644e-06
pooled,infantilization,C1 − C0,-0.1718298670651708,0.025251832194808217,-6.804649489968457,1.0129555625604079e-11,2.0259111251208157e-11
pooled,infantilization,C2 − C0,-0.17866418400686007,0.027381940259479886,-6.524891308423801,6.805086408749359e-11,6.805086408749359e-11
pooled,stereotyping,C1 − C0,0.09848564480249554,0.02938266994516391,3.3518276244567518,0.000802799872003416,0.001605599744006832
pooled,stereotyping,C2 − C0,0.028880330374953536,0.03187536795343234,0.9060391214038895,0.3649151460438971,0.3649151460438971
pooled,refusal,C1 − C0,-0.023805849252833685,0.006467133186129791,-3.6810513356815715,0.00023227422878844468,0.00046454845757688937
pooled,refusal,C2 − C0,-0.02505842404193905,0.007015776656663881,-3.571724880685519,0.00035463784863497234,0.00046454845757688937
pooled,pathologization,C1 − C0,-0.057573207187722304,0.026422734357296817,-2.1789269198712993,0.02933709759226385,0.02933709759226385
pooled,pathologization,C2 − C0,-0.09808496125293586,0.028664324295459676,-3.4218480171350896,0.0006219707003809477,0.0012439414007618954
pooled,validation_quality,C1 − C0,0.35257074881898354,0.0823813709442667,4.279738790187256,1.871127870174754e-05,1.871127870174754e-05
pooled,validation_quality,C2 − C0,1.1249333752509583,0.08936803816287375,12.587647646474693,2.4692261383379983e-36,4.9384522766759965e-36
